City,Year,AverageTemperature,NO2 Mean,SO2 Mean,CO Mean,Avg_CO2_natural_pross,Latitude,Longitude,Cluster
Costa Mesa,2006,17.2315833333333,14.3749902636103,1.30980673782235,0.324800812320917,206890.551627886,32.95,-117.77,0
Costa Mesa,2007,16.80275,13.261896,0.831220865921788,0.311505474860335,207704.80204842,32.95,-117.77,17
Costa Mesa,2008,17.2110833333333,13.1751366739726,1.1489734109589,0.347699326027397,202172.348238522,32.95,-117.77,0
Costa Mesa,2009,17.03125,13.0172551578947,1.10667026731302,0.287842379501385,189498.288118821,32.95,-117.77,21
Costa Mesa,2010,16.1921666666667,11.1729320521978,0.564876458791209,0.242461523351648,195632.057606128,32.95,-117.77,21
Costa Mesa,2011,16.25575,10.9875756898551,0.279647979710145,0.237483068115942,193891.253360382,32.95,-117.77,21
Costa Mesa,2012,17.2035833333333,9.54613346686747,0.0704692409638554,0.16766968373494,190565.325603609,32.95,-117.77,21
Costa Mesa,2013,17.1807777777778,12.0632943387358,0.222227034035656,0.272299768233387,190013.457939345,32.95,-117.77,21
Dallas,2000,18.8966666666667,18.4965119869281,0.948009688453159,0.392715522875817,202954.840625164,32.95,-96.7,17
Dallas,2001,18.5453333333333,18.8544678625731,0.993340131578947,0.385097111111111,202533.047669484,32.95,-96.7,17
Dallas,2002,18.1949166666667,18.3984487018284,0.396090172292546,0.337161857946554,202507.256316711,32.95,-96.7,17
Dallas,2003,18.55375,18.2647221158192,0.971955194915254,0.423128228813559,205392.551367591,32.95,-96.7,17
Dallas,2004,18.58425,16.359083156535,0.839264496960486,0.404531109422492,207367.67381895,32.95,-96.7,17
Dallas,2005,19.1250833333333,16.906299246988,0.826779629518072,0.410845286144578,207371.776318334,32.95,-96.7,17
Dallas,2006,19.8536666666667,15.2825409735974,0.716134856435644,0.340482889438944,206890.551627886,32.95,-96.7,17
Dallas,2007,18.4160833333333,15.7133691432836,0.312984964179105,0.371124832835821,207704.80204842,32.95,-96.7,17
Dallas,2008,18.51825,12.5358114993679,0.526666008849558,0.298085795195955,202172.348238522,32.95,-96.7,17
Dallas,2009,18.4226666666667,12.4600509299363,0.535039939490446,0.284004786624204,189498.288118821,32.95,-96.7,21
Dallas,2010,18.686,13.1061377178771,0.641640224860335,0.264152600558659,195632.057606128,32.95,-96.7,21
Dallas,2011,19.6949166666667,12.9569667323529,0.641221635294118,0.293659830882353,193891.253360382,32.95,-96.7,4
Dallas,2012,19.9910833333333,11.4915395949926,0.261378516936672,0.20568018556701,190565.325603609,32.95,-96.7,4
Dallas,2013,20.4507777777778,11.5733744937238,0.17687030404463,0.231715087168759,190013.457939345,32.95,-96.7,4
Denver,2005,10.0555833333333,31.4745711671388,2.79105758640227,0.705101854107649,207371.776318334,39.38,-104.05,29
